TransactionID,ProductID,PurchaseOrderID,MissingID,TransactionDate,UnitPurchasePrice,QuantityOrdered,QuantityReceived,QuantityMissing,Año,Mes,Mes/Año
253,326,0,1,2003-05-29,0.0,20.0,20.0,0,2003,5,5/2003
255,332,0,1,2003-05-29,0.0,20.0,20.0,0,2003,5,5/2003
257,334,0,1,2003-05-29,0.0,0.0,0.0,0,2003,5,5/2003
258,335,0,1,2003-05-29,0.0,0.0,0.0,0,2003,5,5/2003
259,338,0,1,2003-05-29,0.0,0.0,0.0,0,2003,5,5/2003
260,340,0,1,2003-05-29,0.0,100.0,100.0,0,2003,5,5/2003
262,341,0,1,2003-05-29,0.0,100.0,100.0,0,2003,5,5/2003
264,342,0,1,2003-05-29,0.0,100.0,100.0,0,2003,5,5/2003
266,350,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
267,358,0,1,2003-05-29,0.0,61.0,61.0,0,2003,5,5/2003
268,359,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
269,360,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
270,361,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
271,372,0,1,2003-05-29,0.0,59.0,59.0,0,2003,5,5/2003
272,373,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
273,376,0,1,2003-05-29,0.0,120.0,120.0,0,2003,5,5/2003
274,378,0,1,2003-05-29,0.0,199.0,199.0,0,2003,5,5/2003
276,379,0,1,2003-05-29,0.0,200.0,200.0,0,2003,5,5/2003
278,380,0,1,2003-05-29,0.0,199.0,199.0,0,2003,5,5/2003
280,381,0,1,2003-05-29,0.0,199.0,199.0,0,2003,5,5/2003
282,382,0,1,2003-05-29,0.0,200.0,200.0,0,2003,5,5/2003
284,383,0,1,2003-05-29,0.0,200.0,200.0,0,2003,5,5/2003
286,384,0,1,2003-05-29,0.0,199.0,199.0,0,2003,5,5/2003
288,385,0,1,2003-05-29,0.0,200.0,200.0,0,2003,5,5/2003
290,386,0,1,2003-05-29,0.0,0.0,0.0,0,2003,5,5/2003
291,387,0,1,2003-05-29,0.0,194.0,194.0,0,2003,5,5/2003
293,388,0,1,2003-05-29,0.0,139.0,139.0,0,2003,5,5/2003
295,392,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
296,396,0,1,2003-05-29,0.0,120.0,120.0,0,2003,5,5/2003
297,398,0,1,2003-05-29,0.0,120.0,120.0,0,2003,5,5/2003
298,399,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
299,401,0,1,2003-05-29,0.0,26.0,26.0,0,2003,5,5/2003
300,403,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
301,405,0,1,2003-05-29,0.0,78.0,78.0,0,2003,5,5/2003
302,406,0,1,2003-05-29,0.0,120.0,120.0,0,2003,5,5/2003
303,407,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
304,408,0,1,2003-05-29,0.0,160.0,160.0,0,2003,5,5/2003
305,409,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
306,411,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
307,412,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
308,413,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
309,415,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
310,416,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
311,417,0,1,2003-05-29,0.0,58.0,58.0,0,2003,5,5/2003
312,418,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
313,419,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
314,420,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
315,421,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
316,422,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
317,423,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
318,424,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
319,425,0,1,2003-05-29,0.0,181.0,181.0,0,2003,5,5/2003
320,426,0,1,2003-05-29,0.0,40.0,40.0,0,2003,5,5/2003
321,427,0,1,2003-05-29,0.0,1200.0,1200.0,0,2003,5,5/2003
322,429,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
323,430,0,1,2003-05-29,0.0,303.0,303.0,0,2003,5,5/2003
324,431,0,1,2003-05-29,0.0,120.0,120.0,0,2003,5,5/2003
325,432,0,1,2003-05-29,0.0,120.0,120.0,0,2003,5,5/2003
326,433,0,1,2003-05-29,0.0,180.0,180.0,0,2003,5,5/2003
327,440,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
328,441,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
329,442,0,1,2003-05-29,0.0,160.0,160.0,0,2003,5,5/2003
330,447,0,1,2003-05-29,0.0,121.0,121.0,0,2003,5,5/2003
331,448,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
332,450,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
333,452,0,1,2003-05-29,0.0,120.0,120.0,0,2003,5,5/2003
334,454,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
335,456,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
336,468,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
337,470,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
338,471,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
339,472,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
340,474,0,1,2003-05-29,0.0,120.0,120.0,0,2003,5,5/2003
341,475,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
342,476,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
343,477,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
344,478,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
345,480,0,1,2003-05-29,0.0,120.0,120.0,0,2003,5,5/2003
346,481,0,1,2003-05-29,0.0,120.0,120.0,0,2003,5,5/2003
347,482,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
348,484,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
349,485,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
350,486,0,1,2003-05-29,0.0,120.0,120.0,0,2003,5,5/2003
